zona,instrumen,sta,offset_m,S_sekarang_mm,S_akhir_asaoka_mm,R2_asaoka,S_akhir_hiperbolik_mm,R2_hiperbolik,S_akhir_teoretis_mm,U_asaoka_pct,U_hiperbolik_pct,selisih_pct,laju_mm_per_minggu,tanggal_U90,versi_algoritma
Z-01,GN-01,24100,0,1870,1873,0.9998,1988,0.9942,2013,99.8,94.1,6.1,1.05,,stesygeo-analysis/1.0.0
Z-01,GN-02,24200,0,1899,1901,0.9998,2017,0.9944,2013,99.9,94.1,6.1,1.13,,stesygeo-analysis/1.0.0
Z-01,SAA-01,24200,0,1835,1836,0.9998,1947,0.9947,2013,100.0,94.2,6.1,1.03,,stesygeo-analysis/1.0.0
Z-01,SC-01,24200,-12,1589,1591,0.9999,1687,0.9949,1711,99.9,94.2,6.0,1.11,,stesygeo-analysis/1.0.0
Z-01,SC-02,24200,0,1897,1900,0.9999,2014,0.9950,2013,99.9,94.2,6.0,1.16,,stesygeo-analysis/1.0.0
Z-01,SC-03,24200,12,1715,1716,0.9999,1819,0.9948,1711,100.0,94.3,6.0,1.26,,stesygeo-analysis/1.0.0
Z-01,SP-01,24200,1.5,1895,1897,0.9994,2014,0.9931,2008,99.9,94.1,6.2,2.60,,stesygeo-analysis/1.0.0
Z-02,GN-03,24300,0,1824,2092,0.9999,2785,0.9864,2013,87.2,65.5,33.1,32.79,2026-10-09,stesygeo-analysis/1.0.0
Z-02,GN-04,24400,0,1809,2076,0.9999,2729,0.9925,2013,87.2,66.3,31.5,32.68,2026-10-10,stesygeo-analysis/1.0.0
Z-02,GN-05,24500,0,1879,2167,1.0000,2832,0.9937,2013,86.7,66.4,30.7,33.96,2026-10-12,stesygeo-analysis/1.0.0
Z-02,SAA-02,24500,0,1904,2198,1.0000,2890,0.9900,2013,86.6,65.9,31.5,34.14,2026-10-13,stesygeo-analysis/1.0.0
Z-02,SC-04,24500,-12,1499,1722,1.0000,2275,0.9940,1711,87.0,65.9,32.1,27.06,2026-10-11,stesygeo-analysis/1.0.0
Z-02,SC-05,24500,0,1877,2165,1.0000,2854,0.9933,2013,86.7,65.8,31.9,33.89,2026-10-12,stesygeo-analysis/1.0.0
Z-02,SC-06,24500,12,1618,1858,1.0000,2449,0.9956,1711,87.1,66.1,31.8,29.18,2026-10-10,stesygeo-analysis/1.0.0
Z-02,SP-02,24500,1.5,1872,2175,0.9998,3044,0.9799,2008,86.1,61.5,39.9,33.60,2026-10-16,stesygeo-analysis/1.0.0
Z-03,GN-06,24600,0,1211,,,,0.2719,2013,,,,63.18,,stesygeo-analysis/1.0.0
Z-03,GN-07,24700,0,1255,,,,0.1532,2013,,,,65.79,,stesygeo-analysis/1.0.0
Z-03,GN-08,24800,0,1214,,,,0.0100,2013,,,,63.72,,stesygeo-analysis/1.0.0
Z-03,SAA-03,24800,0,1170,,,,0.1068,2013,,,,60.91,,stesygeo-analysis/1.0.0
Z-03,SC-07,24800,-12,1017,,,,0.0001,1711,,,,53.47,,stesygeo-analysis/1.0.0
Z-03,SC-08,24800,0,1215,,,,0.1017,2013,,,,63.69,,stesygeo-analysis/1.0.0
Z-03,SC-09,24800,12,994,,,,0.0038,1711,,,,52.08,,stesygeo-analysis/1.0.0
Z-03,SP-03,24800,1.5,1203,,,,,2008,,,,65.20,,stesygeo-analysis/1.0.0
Z-04,SC-10,24900,-6,918,1246,1.0000,1993,0.9121,1214,73.6,46.0,59.9,54.09,2026-11-14,stesygeo-analysis/1.0.0
Z-04,SC-11,24900,6,863,1166,0.9998,1752,0.9759,1214,74.0,49.3,50.2,50.70,2026-11-12,stesygeo-analysis/1.0.0
Z-04,SC-12,24925,-6,876,1187,1.0000,1666,0.9987,1214,73.8,52.6,40.4,51.51,2026-11-13,stesygeo-analysis/1.0.0
Z-04,SC-13,24925,6,910,1228,1.0000,1809,0.9857,1214,74.1,50.3,47.3,53.53,2026-11-12,stesygeo-analysis/1.0.0
Z-04,SC-14,24950,-6,924,1251,1.0000,1929,0.9638,1214,73.8,47.9,54.2,54.36,2026-11-13,stesygeo-analysis/1.0.0
Z-04,SC-15,24950,6,959,1298,1.0000,1994,0.9750,1214,73.9,48.1,53.6,56.40,2026-11-12,stesygeo-analysis/1.0.0
Z-04,SC-16,24975,-6,973,1295,0.9999,1960,0.9863,1214,75.1,49.6,51.4,57.30,2026-11-08,stesygeo-analysis/1.0.0
Z-04,SC-17,24975,6,1009,1358,1.0000,1996,0.9927,1214,74.3,50.5,47.0,59.26,2026-11-11,stesygeo-analysis/1.0.0
Z-04,SC-18,25000,-6,841,1130,0.9999,1619,0.9949,1214,74.5,52.0,43.3,49.59,2026-11-10,stesygeo-analysis/1.0.0
Z-04,SC-19,25000,6,790,1085,0.9999,1779,0.8736,1214,72.8,44.4,64.0,46.42,2026-11-17,stesygeo-analysis/1.0.0
