instrumen,tipe,waktu_wib,nilai,satuan,raw,suhu_raw,sumber,flag,kalibrasi_id,catatan
BR-01,BR,2026-08-23T02:00:00+07:00,101.123,kPa,,,telemetry,,,
BR-01,BR,2026-08-23T08:00:00+07:00,100.917,kPa,,,telemetry,,,
BR-01,BR,2026-08-23T14:00:00+07:00,101.074,kPa,,,telemetry,,,
BR-01,BR,2026-08-23T20:00:00+07:00,100.881,kPa,,,telemetry,,,
BR-01,BR,2026-08-24T02:00:00+07:00,101.108,kPa,,,telemetry,,,
BR-01,BR,2026-08-24T08:00:00+07:00,100.874,kPa,,,telemetry,,,
BR-01,BR,2026-08-24T14:00:00+07:00,101.085,kPa,,,telemetry,,,
BR-01,BR,2026-08-24T20:00:00+07:00,100.938,kPa,,,telemetry,,,
BR-01,BR,2026-08-25T02:00:00+07:00,101.125,kPa,,,telemetry,,,
BR-01,BR,2026-08-25T08:00:00+07:00,100.873,kPa,,,telemetry,,,
BR-01,BR,2026-08-25T14:00:00+07:00,101.111,kPa,,,telemetry,,,
BR-01,BR,2026-08-25T20:00:00+07:00,100.937,kPa,,,telemetry,,,
BR-01,BR,2026-08-26T02:00:00+07:00,101.101,kPa,,,telemetry,,,
BR-01,BR,2026-08-26T08:00:00+07:00,100.880,kPa,,,telemetry,,,
BR-01,BR,2026-08-26T14:00:00+07:00,101.106,kPa,,,telemetry,,,
BR-01,BR,2026-08-26T20:00:00+07:00,100.894,kPa,,,telemetry,,,
BR-01,BR,2026-08-27T02:00:00+07:00,101.087,kPa,,,telemetry,,,
BR-01,BR,2026-08-27T08:00:00+07:00,100.872,kPa,,,telemetry,,,
BR-01,BR,2026-08-27T14:00:00+07:00,101.108,kPa,,,telemetry,,,
BR-01,BR,2026-08-27T20:00:00+07:00,100.875,kPa,,,telemetry,,,
BR-01,BR,2026-08-28T02:00:00+07:00,101.077,kPa,,,telemetry,,,
BR-01,BR,2026-08-28T08:00:00+07:00,100.889,kPa,,,telemetry,,,
BR-01,BR,2026-08-28T14:00:00+07:00,101.115,kPa,,,telemetry,,,
BR-01,BR,2026-08-28T20:00:00+07:00,100.881,kPa,,,telemetry,,,
